ID,Age,Gender,LicenceCountry,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Premium
B69193007,52,M,UK,16,0,0,1200,4,Garage,2,195.32
B58763002,46,F,UK,22,8,1,1400,2,Garage,7,225.09
A57010377,59,F,UK,9,0,0,1400,5,Garage,14,201.08
B61470950,62,M,UK,35,0,0,1400,4,0,12,211.76
B43586226,59,F,UK,3,0,4,1400,5,Road,13,251.49
B78248875,78,M,UK,57,4,1,1800,3,Garage,1,229.46
A27238029,63,F,UK,3,0,4,1400,6,Road,14,255.25
B43802155,30,M,UK,13,8,1,1200,4,Garage,6,229.13
A43751408,24,M,UK,5,0,3,1200,3,Garage,13,214.8
B34182940,23,M,UK,3,0,2,1200,2,Garage,4,187.77
A53097453,47,F,UK,13,0,2,1200,6,Road,4,235.86
B68142848,59,M,UK,2,0,0,1400,6,Garage,18,198.68
A83469167,74,M,UK,39,0,3,1200,3,Garage,3,232.24
A62392603,68,M,UK,12,0,4,1200,2,Drive,3,234.73
A29440871,41,F,UK,10,0,1,1200,5,Garage,6,201.84
B734996,54,F,UK,16,4,0,1200,2,Garage,7,199.72
A26187593,75,F,UK,34,0,0,1200,2,Garage,5,193.44
B44755504,71,M,UK,33,0,0,1600,6,Drive,14,228.05
A59005337,46,M,UK,25,0,4,1400,4,Garage,4,240.29
B11118071,71,F,UK,43,0,0,1200,4,Garage,2,201.73
A67625970,65,F,UK,12,0,2,1200,5,Road,3,234.58
A51613825,76,F,UK,11,0,2,2000,8,Garage,1,222.36
B26399935,35,F,UK,2,8,4,1400,6,Garage,1,243.57
A934516,33,M,UK,8,0,2,1200,5,Garage,7,213.12
B76423704,46,M,UK,4,0,4,1400,5,Garage,2,227
B16389418,79,M,UK,49,8,4,1200,5,Road,13,306.07
B40640538,72,M,UK,44,0,0,1400,3,Garage,5,205.36
A84705391,52,F,UK,19,0,0,1200,3,Drive,2,196.86
A89274932,61,F,UK,16,0,1,1600,5,Garage,5,209.42
B13608169,64,M,UK,2,0,0,1200,5,Garage,1,182.53
B40146286,19,F,UK,2,0,4,1400,2,Road,10,224.56
B4551947,29,F,UK,8,0,1,1400,3,Garage,3,188.84
B96009855,35,F,UK,1,0,1,1200,5,Garage,1,178.15
B78670893,48,F,UK,13,0,0,1200,2,Garage,2,179.78
A26167681,57,F,UK,8,0,0,1800,6,Road,7,217.95
B45786256,23,F,UK,5,8,4,1200,3,Garage,11,245.52
A55826525,38,F,UK,2,0,1,1200,6,Garage,5,189.99
B54979828,27,M,UK,8,0,2,1200,4,Garage,8,209.34
B2809894,31,F,UK,1,0,4,1200,3,Garage,2,201.17
B49932351,54,M,UK,11,0,3,1600,6,Garage,16,240.67
A71964819,25,F,UK,1,0,1,1400,6,Road,8,204.26
A16285334,64,F,UK,40,0,3,1200,5,Drive,2,241.29
A2549827,72,M,UK,3,0,3,1200,2,Drive,13,222.09
A98945168,58,M,UK,30,0,2,1400,6,Drive,1,234.6
A61138562,44,F,UK,3,0,4,1600,3,Drive,19,235.8
A97658103,18,F,UK,1,0,4,1200,5,Garage,19,217.23
A54223412,54,M,UK,10,0,2,1200,4,Road,7,235.87
A83495258,49,M,UK,9,0,4,1800,4,Road,1,251.47
B42564024,52,M,UK,26,0,4,1400,6,Garage,1,244.59
A55314630,29,F,UK,10,0,1,1200,3,Road,2,209.06
A31543760,54,F,UK,33,0,1,1200,2,Drive,7,210.18
A93821263,32,M,UK,12,0,2,1200,4,Garage,13,217.94
B89282905,72,F,UK,5,0,2,1200,2,Garage,7,199.38
B19125937,66,M,UK,43,0,4,1200,6,Road,5,272.95
B86743739,28,F,UK,6,0,1,1400,7,Garage,3,197.56
B13084130,27,M,UK,4,0,4,1600,6,Garage,2,225.84
B82112098,50,M,UK,30,0,2,1400,3,Garage,19,230.58
B87657262,66,F,UK,31,0,4,1400,5,Garage,7,246.27
B69290497,74,F,UK,56,0,0,1200,2,Drive,14,212.53
B31071689,24,M,UK,6,4,3,1200,4,Garage,3,225.43
B92373934,28,F,UK,9,0,4,1200,3,Road,1,237.13
B47037152,71,M,UK,34,0,1,1600,4,Garage,12,223.29
B95044763,68,F,UK,13,0,2,1600,7,Garage,10,227.11
A44129273,23,M,UK,6,0,2,1400,4,Garage,4,203.32
A24219917,53,M,UK,21,0,3,1800,6,Garage,10,241.49
A80314542,80,F,UK,18,0,2,1400,6,Road,10,248.29
A889531,51,F,UK,22,0,1,1200,3,Garage,1,199.08
A26046531,79,F,UK,47,0,4,1400,4,Drive,1,251.26
A11836249,80,F,UK,46,0,0,1200,2,Road,5,216.38
A1001197,58,F,UK,13,0,4,1600,7,Garage,14,249.04
A44443077,74,F,UK,36,0,1,1400,6,Garage,4,218.41
B61875654,25,M,UK,8,0,0,1800,7,Garage,1,192.61
A39766093,27,F,UK,1,0,0,1200,6,Garage,5,171.71
A72576191,79,M,UK,10,0,3,1400,3,Garage,14,231.45
B14814117,41,M,UK,13,0,4,1200,6,Road,2,257.17
B14806368,77,F,UK,4,4,4,1200,5,Garage,1,238.88
B56353342,67,F,UK,28,0,3,1200,5,Road,11,258
B90248504,25,M,UK,4,0,1,1400,5,Road,3,212.92
B70876137,46,M,UK,8,8,4,1200,2,Garage,13,255.02
B4983068,64,F,UK,31,0,4,1800,6,Road,1,264.91
B13158054,47,F,UK,28,0,3,1400,4,Garage,1,224.96
